id	description	en	local
def_large_rotor_s_desc		A helicopter rotor with controllable pitch and roll.	具有可控制的俯仰(Pitch)和偏转(Roll)的直升机旋翼。
def_large_rotor_node_0_label		Roll	偏转(Roll)
def_large_rotor_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	介于-1和1之间的标准值，表示偏转(Roll)角。
def_large_rotor_node_1_label		Pitch	俯仰(Pitch)
def_large_rotor_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	介于-1和1之间的标准值，表示俯仰(Pitch)角。
def_large_rotor_node_2_label		RPS	动力
def_large_rotor_node_2_desc		Receives power generated by an engine.	接收发动机产生的能量。
def_large_rotor_node_3_label		Collective	总距
def_large_rotor_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	介于-1和1之间的标准值，表示总距。
def_laser_beacon_name		Laser Beacon	激光信标
def_laser_beacon_desc			
def_laser_beacon_s_desc		A beacon that produces a laser point light, visible by laser point sensors.	产生激光点光源的信标，由激光点传感器可见。
def_laser_beacon_node_0_label		Beacon Light	信标灯
def_laser_beacon_node_0_desc		Switches the beacon on when receiving an on signal.	接收到接通信号时打开信标。
def_laser_beacon_node_1_label		Electric	电源
def_laser_beacon_node_1_desc		Electrical power connection.	电源连接。
def_laser_beacon_node_2_label		Wavelength	波长
def_laser_beacon_node_2_desc		The specific light wavelength to emit (whole number).	要发射的特定光波长(整数)。
def_laser_distance_sensor_name		Laser Distance Sensor	激光距离传感器
def_laser_distance_sensor_desc		The reading can be read from the sensor's number output and is measured in metres (1 metre = 4 blocks).	可以从传感器的数字输出中读取读数，并以米(1米=4块)为单位进行测量。
def_laser_distance_sensor_s_desc		A laser distance sensor with a maximum measurement range of 4000m.	最大测量范围为2000米的激光距离传感器。
def_laser_distance_sensor_node_0_label		Distance	距离
def_laser_distance_sensor_node_0_desc		The measured distance in metres, up to 2000m.	以米为单位测量的距离，可达2000米。
def_laser_distance_sensor_node_1_label		Electric	电源
def_laser_distance_sensor_node_1_desc		Electrical power connection.	电源连接。
def_laser_distance_sensor_node_2_label		Active	打开
def_laser_distance_sensor_node_2_desc		Controls whether or not the laser is active.	控制激光器是否激活。
def_laser_distance_sensor_node_3_label		Wavelength	波长
def_laser_distance_sensor_node_3_desc		The specific light wavelength to emit (whole number).	要发射的特定光波长(整数)。
def_laser_point_sensor_name		Laser Point Sensor	激光点传感器
def_laser_point_sensor_desc		The closest point to the center of the sensor's field of view will be reported. It outputs a value of -1 to 1 on composite number channel 1 for the x position, and a value of -1 to 1 on composite number channel 2 for the y position. Composite on/off channel 1 is set to on when a point is visible. The -1 to 1 values map to an fov of -cos(0.5) to cos(0.5) in both the x and y directions.	将报告距离传感器视场中心最近的点。它在x位置的复合编号通道1上输出-1到1的值，在y位置的复合编号通道2上输出-1到1的值。当点可见时，复合开/关通道1设置为开。在x和y方向，-1到1的值映射到-cos(0.5)到cos(0.5)的fov。
def_laser_point_sensor_s_desc		A sensor that outputs a relative x and y position of a laser point that it can see within its field of view.	一种传感器，输出激光点的相对x和y位置，在其视场内可以看到。
def_laser_point_sensor_node_0_label		Electric	电源
def_laser_point_sensor_node_0_desc		Electrical power connection.	电源连接。
def_laser_point_sensor_node_1_label		Data Output	数据输出
def_laser_point_sensor_node_1_desc		On/Off channel 1: is laser detected. Number channel 1, 2: X, Y position within the sensors 120 degree field of view.	打开/关闭通道1：检测到激光。数字通道1，2:X，Y在传感器120度视野内的位置。
def_laser_point_sensor_node_2_label		Wavelength	波长
def_laser_point_sensor_node_2_desc		The specific light wavelength to detect (whole number).	要检测的特定光波长(整数)。
def_linear_base_name		Linear Track Base	直线轨道基座
def_linear_base_desc		You can build the track using the Linear Track Extension component. This base component provides 3 blocks that can be built on. A pair of on/off signals allow you to control the up and down motion of the slider, and a numerical output lets you measure the slider's offset from its starting position. Multiple slider bases can run along the same track. The up/down speed can be configured by selecting this component with the select tool.	可以使用“线性轨迹扩展”组件构建轨迹。这个基本组件提供了3个可以构建的块。一对开/关信号允许您控制滑块的上下运动，一个数字输出允许您测量滑块从其起始位置的偏移。多个滑块底座可以沿同一轨迹运行。可通过使用选择工具选择该部件来配置上升/下降速度。
def_linear_base_s_desc		A slider that moves along a modular linear track.	沿模块化线性轨道移动的滑块。
def_linear_base_node_0_label		Down	向下
def_linear_base_node_0_desc		Moves the slider in the track's down direction (indicated by the hollow arrow).	沿轨迹的向下方向移动滑块(由空心箭头指示)。
def_linear_base_node_1_label		Up	向上
def_linear_base_node_1_desc		Moves the slider in the track's up direction (indicated by the filled arrow).	沿轨迹的向上方向移动滑块(由实心箭头指示)。
def_linear_base_node_2_label		Slider Position	滑块位置
def_linear_base_node_2_desc		The measured offset of the slider from its starting position.	滑块相对于其起始位置的测量偏移量。
def_linear_base_node_3_label		Electric	电源
def_linear_base_node_3_desc		Electrical power connection.	电源连接。
def_linear_base_node_4_label		RPS	动力
def_linear_base_node_4_desc		Power connection for transfering mechanical energy.	用于传输机械能的连接。
def_linear_base_node_5_label		Fluid	流体
def_linear_base_node_5_desc		Fluid connection for transfering fluid.	用于输送流体的流体连接。
def_linear_compact_base_name		Compact Linear Track Base	紧凑型直线轨道基座
def_linear_compact_base_desc		You can build the track using the Compact Linear Track Extension component. The speed of the slider can be set using its number input.	可以使用“紧凑线性轨迹扩展”组件构建轨迹。滑块的速度可以使用其数字输入设置。
def_linear_compact_base_s_desc		A compact slider that moves along a modular linear track.	沿模块化线性轨道移动的紧凑滑块。
def_linear_compact_base_node_0_label		Slider Speed	滑块速度
def_linear_compact_base_node_0_desc			
def_linear_compact_base_node_1_label		Electric	电源
def_linear_compact_base_node_1_desc		Electrical power connection.	电源连接。
def_linear_compact_head_name		Compact Linear Track Head	紧凑型直线轨头
def_linear_compact_head_desc			
def_linear_compact_head_s_desc			
def_linear_compact_module_name		Compact Linear Track Extension	紧凑型直线轨道扩展
def_linear_compact_module_desc		A Compact Linear Track Base must be attached somewhere along the track for it to function.	一个紧凑的线性轨道基座必须附着在轨道的某处，使其发挥作用。
def_linear_compact_module_s_desc		An extension piece that can be used to build compact linear tracks.	一种可用来建造紧凑的直线轨道的延长件。
def_linear_head_name		Linear Track Head	直线轨头
def_linear_head_desc			
def_linear_head_s_desc			
def_linear_head_node_0_label		RPS	动力
def_linear_head_node_0_desc		Power connection for transfering mechanical energy.	用于传输机械能的连接。
def_linear_head_node_1_label		Fluid	流体
def_linear_head_node_1_desc		Fluid connection for transfering fluid.	用于输送流体的流体连接。
def_linear_matic_a_name		Pneumatic Piston	气动活塞
def_linear_matic_a_desc		A standard value input sets the target position that the piston rod should move to. There is also an output for taking a measurement of the rod's current position. The piston can expand by a length of 1 metre, making it a total of 2.25m (9 blocks) tall when expanded and 1.25m (5 blocks) tall when contracted. The piston's speed can be configured by selecting it with the select tool.	标准值输入设置活塞杆应移动到的目标位置。还有一个输出用于测量杆的当前位置。活塞可膨胀1米，膨胀时总高度为2。25米(9块)，收缩时总高度为1。25米(5块)。活塞的速度可以通过选择工具进行配置。
def_linear_matic_a_s_desc		A pneumatic piston that can be expanded and contracted.	可以膨胀和收缩的气动活塞。
def_linear_matic_a_node_0_label		Piston Rod Target Position	活塞杆目标位置
def_linear_matic_a_node_0_desc		Takes a standard value representing the desired position of the rod.	获取表示所需杆位置的标准值。
def_linear_matic_a_node_1_label		Piston Rod Position	活塞杆位置
def_linear_matic_a_node_1_desc		The measured position of the rod between -0.5 and 0.5 metres.	杆的测量位置在-0.5米到0.5米之间。
def_linear_matic_a_node_2_label		Electric	电源
def_linear_matic_a_node_2_desc		Electrical power connection.	电源连接。
